Year,State,PC_Name,Electors_Total,Electors_Male,Electors_Female,Electors_TG,Voters_Male,Voters_Female,Voters_TG,Voters_Total,Postal_Votes,Total_Voters,Turnout_Percent,Turnout_Male,Turnout_Female,Turnout_TG
2014,Karnataka,BANGALORE SOUTH,1998724,1050583,947604,320,596688,516207,19,1112914,1445,1114359,55.7535207462361,56.7958392665413,54.4749705573214,5.9375
2019,Karnataka,BANGALORE SOUTH,2215489,1153492,1061577,344,616311,568793,33,1185137,4520,1189657,53.7,53.43,53.58,9.59
2024,Karnataka,BANGALORE SOUTH,2341895,1207404,1134091,400,630756,614381,51,1245188,4864,1250052,53.38,52.24,54.17,12.75
2014,Chandigarh,CHANDIGARH,615205,332888,281051,0,244907,208415,0,453322,138,453460,73.7087637454182,73.5703900410949,74.1555803039306,0.0
2019,Chandigarh,CHANDIGARH,646729,342199,304502,20,240635,215557,15,456207,430,456637,70.61,70.32,70.79,71.43
2024,Chandigarh,CHANDIGARH,660552,342176,318341,35,234526,213995,27,448548,835,449383,68.03,68.54,67.22,77.14
2014,Tamil Nadu,CHENNAI CENTRAL,1328018,665040,662376,252,421903,392161,15,814079,1150,815229,61.38689385234236,63.4401488028558,59.2051052497294,5.95238095238095
2019,Tamil Nadu,CHENNAI CENTRAL,1332300,660640,671348,353,399357,383273,56,782686,3071,785757,58.98,60.45,57.09,15.82
2024,Tamil Nadu,CHENNAI CENTRAL,1350334,667618,682261,455,370304,357463,135,727902,3808,731710,54.19,55.47,52.39,29.67
2014,Andhra Pradesh,HYDERABAD,1823217,960169,862338,0,525811,445415,0,971226,544,971770,53.299744352976084,54.762338713289,51.6519605398805,0.0
2019,Telangana,HYDERABAD,1957931,1012592,945324,131,479564,397698,5,877267,674,877941,44.84,47.36,42.07,3.79
2024,Telangana,HYDERABAD,2217305,1125479,1091630,196,562632,512302,27,1074961,6917,1081878,48.79,49.99,46.93,13.78
2014,Rajasthan,JAIPUR,1957816,1046910,910041,0,714851,578288,0,1293139,5812,1298951,66.34693965112145,68.2819917662454,63.5452688395358,0.0
2019,Rajasthan,JAIPUR,2127021,1119412,1007500,25,784372,663540,12,1447924,8582,1456506,68.48,70.07,65.86,48.0
2024,Rajasthan,JAIPUR,2288793,1192089,1096624,80,782994,666587,36,1449617,15383,1465000,64.01,65.68,60.79,45.0
2014,West Bengal,KOLKATA DAKSHIN,1685296,889765,794769,0,626618,540007,0,1166625,1842,1168467,69.33304297880017,70.42503309859,67.945151358445,0.0
2019,West Bengal,KOLKATA DAKSHIN,1728851,896951,831930,33,638271,565962,3,1204236,2840,1207076,69.82,71.16,68.03,9.09
2024,West Bengal,KOLKATA DAKSHIN,1850115,947832,902241,42,642406,596004,15,1238425,6115,1244540,67.27,67.78,66.06,35.71
2014,Uttar Pradesh,LUCKNOW,1949956,1051076,897109,0,580513,450547,0,1031060,3638,1034698,53.062633208133924,55.2303018713187,50.2221023309319,0.0
2019,Uttar Pradesh,LUCKNOW,2040367,1096370,943750,97,609363,497734,3,1107100,10530,1117630,54.78,55.58,52.74,3.09
2024,Uttar Pradesh,LUCKNOW,2173953,1149665,1024196,92,621389,514344,22,1135755,4467,1140222,52.45,54.05,50.22,23.91
2014,Maharashtra,MUMBAI NORTH,1783870,972592,811040,6,527247,418394,1,945642,1075,946717,53.07096369130038,54.2104456848857,51.5872810375801,14.2857142857143
2019,Maharashtra,MUMBAI NORTH,1647350,890139,756865,332,542095,445794,167,988056,1906,989962,60.09,60.9,58.9,50.3
2024,Maharashtra,MUMBAI NORTH,1812115,969143,842559,413,560391,472815,61,1033267,3228,1036495,57.2,57.82,56.12,14.77
2014,NCT OF Delhi,NEW DELHI,1490147,829766,659420,76,545628,422884,7,968519,1650,970169,65.10559025384744,65.7568519317494,64.1295924758235,9.21052631578947
2019,NCT OF Delhi,NEW DELHI,1617470,896288,721158,24,506403,412647,6,919056,1511,920567,56.91,56.5,57.22,25.0
2024,NCT OF Delhi,NEW DELHI,1526694,831520,695096,78,460308,384559,22,844889,2875,847764,55.53,55.36,55.32,28.21
2014,Bihar,PATNA SAHIB,1946249,1051492,893454,0,510480,369747,0,880227,2541,882768,45.35740288113186,48.5481120654156,41.3839533048671,0.0
2019,Bihar,PATNA SAHIB,2146008,1133642,1012286,111,548683,429918,1,978602,4337,982939,45.8,48.4,42.47,0.9
2024,Bihar,PATNA SAHIB,2295527,1211129,1084287,111,592775,480981,6,1073762,2230,1075992,46.87,48.94,44.36,5.41
